Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
478-1542-1-ND,AVX,12065C103KAT2A,C3,1,
478-1556-1-ND,AVX,12065C104KAT2A,C1/C2,2,
ED10561-ND,On Shore Technology Inc.,OSTVN02A150,JP3/JP4,2,
S1012EC-02-ND,Sullins Connector Solutions,PREC002SAAN-RC,JP2,1,
S1012EC-05-ND,Sullins Connector Solutions,PREC005SAAN-RC,JP1,1,
311-62.0FRCT-ND,Yageo,RC1206FR-0762RL,R1/R2,2,
568-8682-1-ND,NXP Semiconductors,TJA1049T-118,IC1,1,
